ID;codigo;tecnologia;modelo;fabricante;partNumber
1;252181;ÓPTICO;RX;CISCO;S. ATLANTA
2;252250;FONTE;FONTE COMPLETA - 127v;ALPHA;ALPHA - ENTRADA 100V/112V/127V
3;252256;FONTE;FONTE COMPLETA - 127v;ALPHA;ALPHA - TRANSP.  + ALPHAGUARD
4;252257;FONTE;FONTE COMPLETA - 220v;ALPHA;ALPHA - TRANSP.  + ALPHAGUARD
5;253515;FONTE;TRANSPONDER;ALPHA;TRANPONDER
6;90005831;INSTRUMENTOS RI;MEDIDOR REDE;VIAVI;JDSU - SC4800
7;16006856;HEADEND;SWITCH FO P2;CISCO;CISCO - 4037229
8;16007438;HEADEND;MODULO PCIX;NAGRA;NAGRA - OPT031-MAGMA
9;22056222;AMP RI;AMP 750MHz;SEM INFORMAÇÃO;ITEM DESCONTINUADO
10;22056223;AMP RI;AMP 750MHz;SEM INFORMAÇÃO;ITEM DESCONTINUADO
11;22056667;HEADEND;MODULO PCIX;NAGRA;MODULO PCIX
12;30030428;AMP RE;AMP 550MHz;SEM INFORMAÇÃO;PROQUALIT - PQAP-5310
13;30030517;AMP RE;AMP 860MHz;ARRIS;ARRIS - FM321GAJ-NA4ASR4N
14;30030518;AMP RE;AMP 550MHz;MOTOROLA;ITEM DESCONTINUADO
15;30030519;AMP RE;AMP 750MHz;SEM INFORMAÇÃO;ITEM DESCONTINUADO
16;30030520;AMP RE;AMP 860MHz;ARRIS;DESCONTINUADO - ATUAL ATEA1203
17;30030523;AMP RE;AMP 860MHz;SEM INFORMAÇÃO;DESCONTINUADO - ATUAL ATEA1236
18;30030524;AMP RE;AMP 550MHz;SEM INFORMAÇÃO;ITEM DESCONTINUADO
19;30030525;ÓPTICO;Modulo RF;MOTOROLA;MOTOROLA - 525407-004-00
20;30030526;ÓPTICO;RX;MOTOROLA;Node - RX
21;30030527;ÓPTICO;Placa Interface RF;MOTOROLA;MOTOROLA - 503855-017-00
22;30030528;ÓPTICO;Placa Interface RF;MOTOROLA;MOTOROLA - 503855-018-00
23;30030529;ÓPTICO;TX;MOTOROLA;MOTOROLA - 531913-001-00
24;30030530;ÓPTICO;TX;MOTOROLA;MOTOROLA - 531914-001-00
25;30030532;ÓPTICO;-;NÃO INFORMADO;MOTOROLA - 528880-001-00
26;30030539;AMP RI;AMP 1G/42MHz;CISCO;DESCONTINUADO - ATUAL ATEA1119
27;30030541;AMP RI;AMP 1G/42MHz;CISCO;DESCONTINUADO - ATUAL ATEA1119
28;30030542;ÓPTICO;RX;CISCO;CISCO - 4007671
29;30030545;ÓPTICO;Modulo RF;CISCO;S. ATLANTA - 591135
30;30030546;ÓPTICO;Fonte;CISCO;S. ATLANTA - 590902
31;30030547;ÓPTICO;TX;CISCO;CISCO - 590938
32;30030549;ÓPTICO;Fonte;MOTOROLA;MOTOROLA - 532244-001-00
33;30030552;ÓPTICO;Processadora Digital;CISCO;S. ATLANTA - 4006452
34;30030560;AMP RE;AMP 550MHz;ARRIS;AMP 550MHz
35;30030563;AMP RE;AMP 750MHz;ARRIS;DESCONTINUADO - ATUAL ATEA0124
36;30030567;AMP RE;AMP 750MHz;SEM INFORMAÇÃO;ITEM DESCONTINUADO
37;30030570;AMP RE;AMP 750MHz;MOTOROLA;MOTOROLA - 927437-002-00
